Toy #,Col.#,Model Name,Series,Series #,Photo,Tags,ImageFiles
JBC43,182,'62 Corvette Gasser,HW Reverse Rake,4/5,,Super Treasure Hunt,00016_Batman.jpg
JBB23,201,Honda Civic Custom,HW Reverse Rake,5/5,,,00016_Batman.jpg
HYX40,099,Cadillac Project GTP Hypercar,HW Exotics,1/5,,,00294_HW_Exotics.jpg
HYY36,099,Cadillac Project GTP Hypercar (2nd Color - Zamac),HW Exotics,1/5,,Walmart Exclusive,00016_Batman.jpg
JBB91,099,Cadillac Project GTP Hypercar (3rd Color),HW Exotics,1/5,,,00295_HW_Exotics.jpg
HYW11,174,Peugeot 9X8 Hypercar,HW Exotics,2/5,,New for 2025!,00296_HW_Exotics.jpg
JBB14,190,Gordon Murray Automotive T.50s,HW Exotics,3/5,,,00297_HW_Exotics.jpg
HYW59,198,Ferrari F40 Competizione,HW Exotics,4/5,,New for 2025!,00298_HW_Exotics.jpg
JBB92,198,Ferrari F40 Competizione (2nd Color),HW Exotics,4/5,,New for 2025!,00299_HW_Exotics.jpg
JBB28,209,McLaren Speedtail,HW Exotics,5/5,,,00300_HW_Exotics.jpg
JBC44,209,McLaren Speedtail,HW Exotics,5/5,,Super Treasure Hunt,00016_Batman.jpg
HYY57,116,Slide Kick,Experimotors,1/10,,,00301_Experimotors.jpg
HYY02,116,Slide Kick (2nd Color),Experimotors,1/10,,,00302_Experimotors.jpg
HYY58,117,Flippin Fast,Experimotors,2/10,,,00303_Experimotors.jpg
HYX88,117,Flippin Fast (2nd Color),Experimotors,2/10,,,00304_Experimotors.jpg
HYY59,118,Skull Shaker,Experimotors,3/10,,,00305_Experimotors.jpg
JBB73,118,Skull Shaker (2nd Color),Experimotors,3/10,,,00306_Experimotors.jpg
HYY90,156,HW Ultimate T-Rex Transporter,Experimotors,4/10,,,00307_Experimotors.jpg
JBC10,156,HW Ultimate T-Rex Transporter (2nd Color),Experimotors,4/10,,,00016_Batman.jpg
JBB02,160,Crate Racer,Experimotors,5/10,,,00308_Experimotors.jpg
JBB87,160,Crate Racer (2nd Color),Experimotors,5/10,,,00309_Experimotors.jpg
JBB12,187,Porsche 911 Carrera Clip,Experimotors,6/10,,,00310_Experimotors.jpg
JBC11,187,Porsche 911 Carrera Clip (2nd Color),Experimotors,6/10,,,00016_Batman.jpg
HYW39,188,Decidedly Go,Experimotors,7/10,,New for 2025!,00311_Experimotors.jpg
JBC12,188,Decidedly Go (2nd Color),Experimotors,7/10,,New for 2025!,00016_Batman.jpg
JBB25,206,Speed Driver,Experimotors,8/10,,,00312_Experimotors.jpg
JBB88,206,Speed Driver (2nd Color),Experimotors,8/10,,,00016_Batman.jpg
HYW45,216,Quick Chat,Experimotors,9/10,,New for 2025!,00313_Experimotors.jpg
JBC13,216,Quick Chat (2nd Color),Experimotors,9/10,,New for 2025!,00016_Batman.jpg
JBC31,229,Shark Bite,Experimotors,10/10,,Treasure Hunt,00016_Batman.jpg
HYY62,121,'67 Ford Mustang Coupe,Then and Now,1/10,,,00314_Then_and_Now.jpg
HYY63,122,Range Rover Velar,Then and Now,2/10,,,00315_Then_and_Now.jpg
HYY64,123,2018 Honda Civic Type R,Then and Now,3/10,,,00316_Then_and_Now.jpg
HYY26,123,2018 Honda Civic Type R (2nd Color),Then and Now,3/10,,Dollar Tree/Family Dollar Exclusive,00016_Batman.jpg
JBB77,123,2018 Honda Civic Type R (3rd Color),Then and Now,3/10,,,00317_Then_and_Now.jpg
HYW50,176,'96 Dodge Viper GTS,Then and Now,4/10,,New for 2025!,00318_Then_and_Now.jpg
JBB95,176,'96 Dodge Viper GTS (2nd Color),Then and Now,4/10,,New for 2025!,00319_Then_and_Now.jpg
JBB31,210,Land Rover Defender 90,Then and Now,5/10,,,00320_Then_and_Now.jpg
HYY18,210,Land Rover Defender 90 (2nd Color - Zamac),Then and Now,5/10,,Walmart Exclusive,00016_Batman.jpg
JBC16,210,Land Rover Defender 90 (3rd Color),Then and Now,5/10,,,00016_Batman.jpg
JBB15,214,2013 SRT Viper,Then and Now,6/10,,,00321_Then_and_Now.jpg
JBB34,219,Ford Mustang Dark Horse,Then and Now,7/10,,,00322_Then_and_Now.jpg
JBB35,220,Porsche 911 GT3 RS,Then and Now,8/10,,,00323_Then_and_Now.jpg
JBB42,231,'73 Honda Civic Custom,Then and Now,9/10,,,00324_Then_and_Now.jpg
JBC46,231,'73 Honda Civic Custom,Then and Now,9/10,,Super Treasure Hunt,00325_Then_and_Now.jpg
HYW37,239,Porsche 911 Turbo Cabriolet,Then and Now,10/10,,New for 2025!,00326_Then_and_Now.jpg
HYY79,131,'71 Dodge Challenger,Muscle Mania,1/10,,,00327_Muscle_Mania.jpg
HYY61,165,'69 Mercury Cyclone,Muscle Mania,2/10,,,00328_Muscle_Mania.jpg
JBB13,189,'67 Mustang,Muscle Mania,3/10,,,00329_Muscle_Mania.jpg
JBB27,207,Ravenger S/T,Muscle Mania,4/10,,,00330_Muscle_Mania.jpg
JBC14,207,Ravenger S/T (2nd Color),Muscle Mania,4/10,,,00016_Batman.jpg
JBB29,208,'69 Dodge Coronet Superbee,Muscle Mania,5/10,,,00331_Muscle_Mania.jpg
JBB33,217,King Kuda,Muscle Mania,6/10,,,00332_Muscle_Mania.jpg
HYW47,218,Mod Mill,Muscle Mania,7/10,,New for 2025!,00333_Muscle_Mania.jpg
JBC15,218,Mod Mill (2nd Color),Muscle Mania,7/10,,New for 2025!,00016_Batman.jpg
JBB41,230,'73 Pontiac Firebird,Muscle Mania,8/10,,,00334_Muscle_Mania.jpg
JBB45,240,'20 Dodge Charger Hellcat,Muscle Mania,9/10,,,00335_Muscle_Mania.jpg
JBC47,240,'20 Dodge Charger Hellcat,Muscle Mania,9/10,,Super Treasure Hunt,00016_Batman.jpg
HYW53,250,1983 Porsche 928S,Muscle Mania,10/10,,New for 2025!,00336_Muscle_Mania.jpg
HYY85,150,Honda CB750 Café,HW Moto,1/5,,,00337_HW_Moto.jpg
JBB79,150,Honda CB750 Café (2nd Color),HW Moto,1/5,,,00016_Batman.jpg
HYY37,150,Honda CB750 Café (3rd Color),HW Moto,1/5,,Kroger Exclusive,00016_Batman.jpg
JBB07,177,Vespa 90 SS Super Sprint (1966),HW Moto,2/5,,,00338_HW_Moto.jpg
HYW43,181,Honda Motocompo,HW Moto,3/5,,New for 2025!,00339_HW_Moto.jpg
JBC03,181,Honda Motocompo (2nd Color),HW Moto,3/5,,New for 2025!,00016_Batman.jpg
HYW51,224,Honda VFR750R (RC30),HW Moto,4/5,,New for 2025!,00340_HW_Moto.jpg
JBC32,235,1966 Triumph Tiger 100,HW Moto,5/5,,Treasure Hunt,00341_HW_Moto.jpg
JBB09,183,Drift'n Break,HW Wagons,1/5,,,00342_HW_Wagons.jpg
JBC06,183,Drift'n Break (2nd Color),HW Wagons,1/5,,,00343_HW_Wagons.jpg
JBB10,184,Track Dwagon,HW Wagons,2/5,,,00344_HW_Wagons.jpg
HYY34,184,Track Dwagon (2nd Color),HW Wagons,2/5,,Kroger Exclusive,00345_HW_Wagons.jpg
JBB81,184,Track Dwagon (3rd Color),HW Wagons,2/5,,,00016_Batman.jpg
JBB40,227,Volvo 240 Drift Wagon,HW Wagons,3/5,,,00346_HW_Wagons.jpg
HYY20,227,Volvo 240 Drift Wagon (2nd Color - Zamac),HW Wagons,3/5,,Walmart Exclusive,00016_Batman.jpg
HYW56,244,Gone Mad,HW Wagons,4/5,,New for 2025!,00347_HW_Wagons.jpg
JBB48,245,BMW M3 Wagon,HW Wagons,5/5,,,00016_Batman.jpg
JBC48,245,BMW M3 Wagon,HW Wagons,5/5,,Super Treasure Hunt,00348_HW_Wagons.jpg
HYW38,185,BMW 635 CSi,Wild Widebody,1/5,,New for 2025!,00349_Wild_Widebody.jpg
JBB84,185,BMW 635 CSi (2nd Color),Wild Widebody,1/5,,New for 2025!,00350_Wild_Widebody.jpg
JBB11,186,'89 Mercedes-Benz 560 SEC AMG,Wild Widebody,2/5,,,00351_Wild_Widebody.jpg
JBB85,186,'89 Mercedes-Benz 560 SEC AMG (2nd Color),Wild Widebody,2/5,,,00016_Batman.jpg
JBB24,205,Pontiac Aztek Custom,Wild Widebody,3/5,,,00352_Wild_Widebody.jpg
JBC09,205,Pontiac Aztek Custom (2nd Color),Wild Widebody,3/5,,,00016_Batman.jpg
HYW54,238,Jaguar XJC V12 Coupe,Wild Widebody,4/5,,New for 2025!,00353_Wild_Widebody.jpg
HYY21,238,Jaguar XJC V12 Coupe (2nd Color - Zamac),Wild Widebody,4/5,,"Walmart Exclusive, New for 2025!",00016_Batman.jpg
JBC33,246,'84 Audi Sport quattro,Wild Widebody,5/5,,Treasure Hunt,00354_Wild_Widebody.jpg
JBB31,192,Czinger 21C,Peak Pursuit,1/10,,,00355_Peak_Pursuit.jpg
JBB96,192,Czinger 21C (2nd Color),Peak Pursuit,1/10,,,00356_Peak_Pursuit.jpg
JBB20,199,Audi 90 quattro,Peak Pursuit,2/10,,,00357_Peak_Pursuit.jpg
JBC04,199,Audi 90 quattro (2nd Color),Peak Pursuit,2/10,,,00016_Batman.jpg
JBB21,200,VW T3 Custom,Peak Pursuit,3/10,,,00358_Peak_Pursuit.jpg
JBC05,200,VW T3 Custom (3rd Color),Peak Pursuit,3/10,,,00016_Batman.jpg
JBB38,225,Pagani Utopia,Peak Pursuit,4/10,,,00359_Peak_Pursuit.jpg
JBB39,226,Mazda 787B,Peak Pursuit,5/10,,,00360_Peak_Pursuit.jpg
JBB44,236,Limited Grip,Peak Pursuit,6/10,,,00361_Peak_Pursuit.jpg
HYW55,237,McMurtry Spéirling,Peak Pursuit,7/10,,New for 2025!,00362_Peak_Pursuit.jpg
JBB47,243,Mazda RX-3,Peak Pursuit,8/10,,,00016_Batman.jpg
JBB49,247,Ford RS200,Peak Pursuit,9/10,,,00016_Batman.jpg
JBC49,247,Ford RS200,Peak Pursuit,9/10,,Super Treasure Hunt,00016_Batman.jpg
HYW29,248,Polestar TRX,Peak Pursuit,10/10,,New for 2025!,00363_Peak_Pursuit.jpg
JBB24,204,Terra-Tracktyl,HW Track Champs,1/5,,,00364_HW_Track_Champs.jpg
JBB82,204,Terra-Tracktyl (2nd Color),HW Track Champs,1/5,,,00016_Batman.jpg
JBB32,215,Blitzspeeder,HW Track Champs,2/5,,,00365_HW_Track_Champs.jpg
JBB83,215,Blitzspeeder (2nd Color),HW Track Champs,2/5,,,00016_Batman.jpg
HYW49,228,Twin Dorado,HW Track Champs,3/5,,New for 2025!,00366_HW_Track_Champs.jpg
HYW58,242,El Segundo Rallye,HW Track Champs,4/5,,New for 2025!,00367_HW_Track_Champs.jpg
JBC34,249,Triumph TR6,HW Track Champs,5/5,,Treasure Hunt,00016_Batman.jpg
HYY38,028,'90 Honda Civic EF (2nd Color),Red Edition,1/12,,Target Exclusive,00368_Red_Edition.jpg
HYY39,024,Custom Cadillac Fleetwood (2nd Color),Red Edition,2/12,,Target Exclusive,00369_Red_Edition.jpg
HYY40,007,Small Bloc (2nd Color),Red Edition,3/12,,Target Exclusive,00370_Red_Edition.jpg
HYY41,073,2020 Ford Mustang Shelby GT500 (2nd Color),Red Edition,4/12,,Target Exclusive,00371_Red_Edition.jpg
HYY42,039,2020 Ram 1500 Rebel (2nd Color),Red Edition,5/12,,Target Exclusive,00016_Batman.jpg
HYY43,052,Mercedes-Benz 500 E (2nd Color),Red Edition,6/12,,Target Exclusive,00372_Red_Edition.jpg
HYY44,062,Datsun 240Z,Red Edition,7/12,,Target Exclusive,00373_Red_Edition.jpg
HYY45,041,Lamborghini Huracán Sterrato (2nd Color),Red Edition,8/12,,Target Exclusive,00374_Red_Edition.jpg
HYY46,134,'68 Corvette - Gas Monkey Garage (2nd Color),Red Edition,9/12,,Target Exclusive,00375_Red_Edition.jpg
HYY47,200,VW T3 Custom (2nd Color),Red Edition,10/12,,Target Exclusive,00376_Red_Edition.jpg
HYY48,190,Gordon Murray Automotive T.50s (2nd Color),Red Edition,11/12,,Target Exclusive,00377_Red_Edition.jpg
HYY49,115,'75 Chevy Blazer Custom (3rd Color),Red Edition,12/12,,Target Exclusive,00378_Red_Edition.jpg
